NestID,NestTL,MomTL,Treatment,MomAge,Year
69,2.416628545,2.138653414,Control,ASY,2018
34,1.551665821,1.866828381,Control,ASY,2017
47,2.637569677,2.411504337,Control,ASY,2017
56,2.415536859,2.429673628,Calcium,ASY,2017
60,2.489221024,2.357112156,Control,ASY,2017
108,1.192134384,1.599602982,Control,ASY,2017
84,3.282382923,3.617077894,Calcium,ASY,2018
78,1.886371867,3.617077894,Control,ASY,2017
25,3.799396501,2.67304716,Control,ASY,2018
61,2.058188348,2.01633555,Control,ASY,2017
93,0.755940019,2.01633555,Control,SY,2018
55,3.345105963,2.654466662,Calcium,ASY,2017
68,0.804039161,1.723906313,Control,SY,2018
63,2.903458049,4.459915208,Calcium,ASY,2017
95,1.1629575,1.110525019,Calcium,ASY,2017
93,1.268666703,1.281482757,Control,SY,2017
19,3.979377654,2.56924175,Calcium,SY,2018
128,2.44070712,2.56924175,Control,ASY,2017
41,3.282119621,4.307405586,Calcium,SY,2017
69,4.814739182,4.307405586,Calcium,ASY,2017
47,2.715711197,3.093479062,Control,ASY,2017
109,2.37655,0.92462736,Control,SY,2017
55,1.298067324,2.168415759,Control,ASY,2018
22,2.889664882,2.508936722,Control,ASY,2018
128,2.107029089,3.27505102,Calcium,ASY,2018
50,1.74230929,1.9677159,Calcium,SY,2018
52,3.086899794,2.274804822,Control,SY,2018
37,3.385319124,2.731268729,Calcium,ASY,2018
100,3.001982608,2.716285051,Control,SY,2018
159,3.75741748,3.098877484,Calcium,SY,2018
78,2.912595587,3.933064686,Calcium,SY,2018
84,3.039733335,2.385394464,Calcium,SY,2018
194,3.938808931,2.754427924,Calcium,SY,2018
155,3.547330366,3.261393131,Calcium,SY,2018
187,2.924902266,3.376288175,Control,ASY,2018
60,2.47332881,2.695569822,Control,ASY,2018
148,1.477069562,1.954658173,Control,SY,2018
134,2.441538013,2.411619036,Control,ASY,2018
109,3.294316156,5.179161741,Calcium,ASY,2018
104,3.482096671,2.977944408,Calcium,SY,2018
99,2.130445471,2.752020911,Control,ASY,2018
25,4.208670712,1.11052502,Calcium,ASY,2017
95,4.255085562,2.46631449,Calcium,ASY,2018
63,4.387734347,3.271849108,Calcium,ASY,2018
61,2.59698626,2.722632387,Control,SY,2018
