ID,TL_pre,TL_post,D,Age,TRT,Year,Clutch,Brood,Hatch
835,1.866828381,1.367698251,-0.000396304,ASY,CONTROL,2017,4,0,0
843,2.357112156,1.240979206,0.316427065,ASY,CALCIUM,2017,6,6,1
846,4.081281271,2.162588763,0.277976223,ASY,CALCIUM,2017,6,6,1
847,1.599602982,1.175875538,0.005244924,ASY,CONTROL,2017,4,4,1
848,3.617077894,2.692474312,-0.054880326,SY,CONTROL,2017,6,6,1
18810,4.459915208,2.383039261,0.264449736,ASY,CALCIUM,2017,5,5,1
18812,1.110525019,0.751445991,0.10937572,ASY,CALCIUM,2017,5,5,1
18838,3.093479062,2.098805001,0.046962426,ASY,CONTROL,2017,6,6,1
822,2.138653414,1.602860195,-0.031049843,ASY,CONTROL,2018,6,6,1
838,2.411504337,2.272511919,-0.267075045,ASY,CONTROL,2018,3,3,1
843,2.357112156,1.588479636,0.06955046,ASY,CALCIUM,2018,5,5,1
18806,2.67304716,2.20451496,-0.139734157,ASY,CONTROL,2017,5,3,0.6
18807,2.01633555,1.478728727,-0.005902467,ASY,CONTROL,2018,5,4,0.8
18808,2.654466662,2.038435589,-0.067977775,ASY,CALCIUM,2018,6,6,1
18823,3.704350125,2.129520856,0.202134043,ASY,CALCIUM,2018,NA,NA,NA
18831,4.307405586,3.027121664,-0.007550408,ASY,CALCIUM,2018,6,4,0.666666667
18840,2.168415759,1.655363428,-0.050266405,ASY,CONTROL,2018,4,3,0.75
23211,2.508936722,2.296367693,-0.240219763,ASY,CONTROL,2018,4,4,1
23221,2.803775859,2.212739989,-0.098495197,ASY,CALCIUM,2018,5,4,0.8
23224,3.27505102,2.601271297,-0.11395938,ASY,CONTROL,2018,6,5,0.833333333
23242,2.731268729,2.030467723,-0.037202416,ASY,CALCIUM,2018,5,5,1
23261,3.376288175,2.796846303,-0.157783712,ASY,CONTROL,2017,5,5,1
23262,2.695569822,1.941527182,-0.004800363,ASY,CONTROL,2018,5,4,0.8
23264,2.411619036,1.838797954,-0.055256537,ASY,CONTROL,2018,5,5,1
23265,5.179161741,3.732304324,-0.04340645,ASY,CONTROL,2018,6,4,0.666666667
23268,2.752020911,1.805688832,0.087249409,ASY,CONTROL,2018,3,3,1
23269,2.46631449,1.520826216,0.15572034,ASY,CALCIUM,2018,6,6,1
839,2.429673628,1.782269401,-0.017008374,SY,CALCIUM,2017,5,5,1
18809,1.723906313,1.291040646,-0.017718249,SY,CALCIUM,2017,5,4,0.8
840,2.168415759,1.655363428,-0.050266405,SY,CONTROL,2017,4,4,1
18807,0.702331116,0.461188118,0.166109749,ASY,CONTROL,2017,5,5,1
18813,1.281482757,1.073543801,-0.112511823,SY,CONTROL,2017,5,5,1
18817,2.56924175,2.049623031,-0.104180613,SY,CALCIUM,2017,5,5,1
18825,4.307405586,3.202712166,-0.063936189,SY,CALCIUM,2017,5,4,0.8
18840,0.92462736,0.644396829,0.090548098,SY,CONTROL,2017,5,5,0.25
18887,2.527638815,1.54689992,0.161849358,ASY,CONTROL,2018,4,1,0.25
23238,1.9677159,1.326339781,0.079872466,SY,CALCIUM,2018,5,5,1
23239,2.274804822,2.007403666,-0.197984242,SY,CONTROL,2017,4,4,1
23246,2.716285051,2.002619189,-0.028572388,SY,CALCIUM,2018,5,5,1
23247,3.098877484,2.352567155,-0.065534696,SY,CALCIUM,2018,4,3,0.75
23254,3.933064686,2.933674464,-0.061807937,SY,CONTROL,2018,5,3,0.6
23255,2.385394464,1.318883691,0.266773752,SY,CALCIUM,2018,4,3,0.75
23256,2.754427924,2.067159993,-0.047160868,SY,CALCIUM,2018,5,5,1
23258,3.261393131,2.318088319,-0.002637198,SY,CALCIUM,2018,5,5,1
23263,1.954658173,1.508751672,-0.05525679,SY,CONTROL,2018,5,4,0.8
23267,2.977944408,2.413632427,-0.128645321,SY,CALCIUM,2018,5,5,1
23274,3.271849108,1.970082517,0.163044383,ASY,CONTROL,2018,5,4,0.8
28980,2.722632387,2.230424545,-0.134110506,SY,CONTROL,2018,6,4,0.666666667
